"No.","Time","Source","Destination","Protocol","Length","Info"
"15029","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15030","139.446872","104.18.32.47","192.168.88.132","QUIC","1224","Protected Payload (KP0)"
"15031","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15032","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15033","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15034","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15035","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15036","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15037","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15038","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15039","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15040","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15041","139.447386","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"15042","139.447642","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"15043","139.447842","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"15044","139.448096","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"15045","139.449341","192.168.88.132","142.251.47.46","TCP","66","59951  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"15046","139.449479","192.168.88.132","104.18.32.47","QUIC","91","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"15047","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15048","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15049","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15050","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15051","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15052","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15053","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15054","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15055","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15056","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15057","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15058","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15059","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15060","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15061","139.450492","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
